pressurec2,energy_densityc2,baryon_density,cs2c2
1.1236019714159985e-13,7.75762126553246,6.69048771152622,1.6945997864013136e-11
1.1236019475463936e-12,7.817295635759562,7.911501883089412,1.5929374172499716e-10
1.1236019475463937e-11,7.857078290656912,7.961680189549807,2.752282478616583e-10
1.1236020092095396e-10,8.105719630150793,8.21257384608163,4.035215002808518e-10
1.346106455596052e-09,11.53697608654582,11.691627347020315,1.455584930405457e-09
1.557471780889604e-08,16.310897120862208,16.558956977725124,3.424597645509416e-09
1.8912286344642437e-07,44.85496701772423,45.49531615737781,1.0743910637761802e-08
6.47463040142407e-06,210.84817439090452,212.4229843099,6.532182291655495e-08
0.00021136536308709357,1143.7519101204043,1159.1270249039164,3.049818810191245e-07
0.010839983166747273,10383.278517673914,10529.155193679911,1.7730750432304743e-06
0.05526808095018265,26077.5431250706,26444.15110833727,3.578326781085789e-06
0.27044261127868807,65512.11791804905,66436.54548555908,6.8087936923662515e-06
1.2804650541295215,164501.36184252548,166860.76126842786,1.2535204521624708e-05
5.858396570033943,413341.99901098723,419159.07582330506,2.223850786322356e-05
25.787129201286437,1038327.7682237742,1052748.2003064756,3.7819433736050885e-05
108.52316034627815,2607754.3920724094,2644415.2613697,6.12769168671521e-05
435.0832347612719,6552206.657044684,6643654.381293715,8.67452434776544e-05
585.0638948450149,8247943.010781746,8363109.568321342,9.438602265298484e-05
1596.4190990730779,16460080.918056862,16686075.60832999,0.00013641178677423752
4264.10597733402,32840598.03806067,33285176.11436781,0.0001792305641290434
11191.661733400537,65532012.835884124,66436542.307577424,0.00023211371861317417
28969.743184381354,130785548.73846783,132538566.25185376,0.00029765859403066126
74270.27238038476,260974336.66811445,264441516.10123843,0.00034217943973673717
97208.96505050185,328604905.6893526,332851761.14367807,0.00036463633492365326
181224.0062062492,520854641.823005,527712198.52850884,0.00046567660064778855
336979.1567432373,825589946.6174133,836310960.177378,0.0005472218524371975
459350.6425127657,1039322354.9848288,1052748248.8125114,0.0004848746393024504
560239.5216899446,1308849976.6781795,1325385590.5957952,0.0004735248382733432
763170.9636892378,1647997285.2191327,1668607555.815133,0.0006186802234035645
1415069.7700814495,2611732679.442616,2644415244.643481,0.0007197182152251634
2621081.4488872574,4141376266.4802227,4191590708.0543923,0.0008396141059288445
4852690.571267287,6565136105.916356,6643653996.5906725,0.0008790519119582404
6298790.919184064,8266839801.197708,8363109401.05915,0.0009440526233534239
8568392.197617227,10403169437.350168,10527482103.422073,0.0010977024164790954
11658909.905207796,13108391541.78556,13253855905.957949,0.0011842124109933808
15852799.998605894,16499864845.999804,16686076310.831202,0.0012785003433045195
21560220.203901876,20786447577.088673,21008131361.672,0.0012590720117493818
27845883.01942771,26167053944.431767,26444151275.59946,0.0013051183979508974
37869128.72809076,32950000393.729557,33285177285.203156,0.0015290512160988138
51484749.771258816,41493329605.68661,41915906411.495155,0.0014928510482070702
66182457.18171866,52254542340.372795,52771221859.99719,0.0015385352561961742
89988408.78070177,65810492553.9718,66436539965.90673,0.0018192420554654404
122373490.02068426,82867314966.36125,83631094010.59149,0.001964504424704077
166315448.82918897,104330068014.85759,105274827222.92184,0.002116624429636985
226164508.16281626,131481740375.52211,132538565248.28064,0.002044790885078676
288921687.58763784,165495926723.10892,166860763108.31198,0.0018366381918024006
321722483.05957246,183398124808.44333,184824717550.98422,0.0018049068109461303
366000600.0993804,208461219870.9845,210081306926.2323,0.001977527704552989
