energy_densityc2,pressurec2,baryon_density
7.75762126553246,1.1236019714159985e-13,6.69048771152622
7.817295635759562,1.1236019475463936e-12,7.911501883089412
7.857078290656912,1.1236019475463935e-11,7.961680189549807
8.105719630150793,1.1236020092095396e-10,8.21257384608163
11.53697608654582,1.346106455596052e-09,11.691627347020315
16.310897120862208,1.557471780889604e-08,16.558956977725124
44.85496701772423,1.8912286344642442e-07,45.49531615737781
210.8481743909045,6.47463040142407e-06,212.4229843099
1143.7519101204043,0.000211365363087,1159.1270249039164
10383.278517673914,0.0108399831667472,10529.155193679911
26077.5431250706,0.0552680809501826,26444.15110833727
65512.11791804905,0.270442611278688,66436.54548555908
164501.36184252548,1.2804650541295215,166860.76126842786
413341.9990109872,5.858396570033943,419159.07582330506
1038327.7682237742,25.78712920128644,1052748.2003064756
2607754.3920724094,108.52316034627816,2644415.2613697
6552206.657044684,435.0832347612719,6643654.381293715
8247943.010781746,585.0638948450149,8363109.568321342
16460080.918056862,1596.419099073078,16686075.60832999
32840598.03806067,4264.10597733402,33285176.11436781
65532012.83588413,11191.661733400537,66436542.307577424
130785548.73846784,28969.743184381357,132538566.25185376
260974336.66811445,74270.27238038476,264441516.10123843
328604905.6893526,97208.96505050184,332851761.14367807
520854641.823005,181224.0062062492,527712198.5285088
825589946.6174133,336979.1567432373,836310960.177378
1039322354.9848288,459350.6425127657,1052748248.8125114
1308849976.6781795,560239.5216899446,1325385590.5957952
1647997285.219133,763170.9636892378,1668607555.815133
2611732679.442616,1415069.7700814495,2644415244.643481
4141376266.480223,2621081.4488872574,4191590708.054392
6565136105.916356,4852690.571267287,6643653996.5906725
8266839801.197708,6298790.919184064,8363109401.05915
10403169437.350168,8568392.197617227,10527482103.422071
13108391541.78556,11658909.905207796,13253855905.957949
16499864845.999804,15852799.998605894,16686076310.831202
20786447577.088676,21560220.20390188,21008131361.672
26167053944.431767,27845883.01942771,26444151275.59946
32950000393.72956,37869128.72809076,33285177285.20316
41493329605.68661,51484749.771258816,41915906411.49516
52254542340.3728,66182457.18171866,52771221859.99719
65810492553.9718,89988408.78070177,66436539965.90673
82867314966.36125,122373490.02068426,83631094010.59149
104330068014.8576,166315448.82918897,105274827222.92184
131481740375.52213,226164508.16281623,132538565248.28064
165495926723.10892,288921687.58763784,166860763108.31198
183398124808.44333,321722483.05957246,184824717550.98425
208461219870.9845,366000600.0993804,210081306926.2323
262565647637.9294,497621579.6377496,264441519446.48236
330693492137.49115,647025416.7957953,332851766161.5439
427564309226.2101,868296634.079132,430198372156.61536
443576825882.9877,877745031.2762474,446590046937.4123
519959567444.667,929144294.84244,522861603312.8884
657408702872.1775,1012130876.8754244,660852940452.7112
792073057031.8811,1093685433.7901795,796000750072.123
967514617045.5808,1204818286.084032,972127865399.684
1189501948333.8523,1354997873.4656546,1194753883587.0798
1463007883256.1482,1556357931.6369345,1469565615472.3325
6705887328666.753,10337358450.297552,6690487711526.219
13423626353762.48,20780393648.552708,13380975406326.217
20148832547133.367,37168691285.06965,20071463084400.0
26880291463066.14,57331035023.12813,26761950779200.0
33617219502215.49,80478501203.13504,33452438474000.0
50586888306018.53,145988157401.97757,50282817391714.16
68706933839758.44,249768384513.51767,68226029500264.4
86329210826779.42,383473419601.7238,85646272852613.11
103694650101454.08,545626516398.1716,102783338415884.98
120937286203353.84,735663366673.7776,119770481559210.86
138132615528394.88,954845589285.6316,136682554928114.52
155326539412177.78,1206552775915.3943,153564657449728.0
172547481173206.84,1496229737864.1018,170444098705831.8
189811266699953.9,1831170232300.5488,187335233100422.0
